"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
,,,,,317797.2188,,,,64507.27734,395326.0313,6247396.5,,,,,,1389396.375
,,,,,,,,,,,,,,,,,
,,,,,,64450.37891,,,,,694123,,,,,,
446599,371417.3438,2521026.5,758015.8125,,,,,828020.0625,,441375.8125,,399670.7813,,229275.3281,,,
,,,,,,189605.2656,106893.6641,,131211.5156,,763422.8125,,,,,,
,,,161235.9688,62806.28125,46762.36719,,,,79547.96875,548993.5,199579.8125,,184247.3281,,794371.3125,67945.90625,96224.22656
,,,,,32619.84961,,,,,,1521704,,,,,,285765.9063
,,,,,,,,,,,,,,,,,
,,,,,,,,,19933.76953,,311018.3125,,,,,,
,2326509.5,,387087.375,124695.0234,58434.42578,521643.0625,169665.0273,,191791.043,759652.9766,190786.9375,819436.625,303919.5781,1728990.125,809730.1406,576128.0859,161075.7344
2545526,67941.28809,51975.41406,15756334.44,246006.0801,,18001956.09,7078375.43,,5078703.406,20602124.38,7641308.656,154299.0469,5457797.598,,18075294.91,12682.12695,23720.55273
15820069,20521943.5,8033445.84,28981838.6,5256424.908,3040618.382,44316592.03,22446815.43,9073457,12080893.11,116270207.7,18569293.67,6203789.094,31947389.72,6543489.5,11013032.3,3936508.75,2681838.766
,,,106347.5234,,,224422.6406,104401.4688,,74613.0625,,1580337.875,,100185.5938,,94327.09375,,20201.82422
,,,,,,,,,,,,,,,,,
,,,,,48745.96094,235396.1875,,,124371.8906,,1549908,,,,,,130495.5859
,,,41272.06641,,,121841.6016,,,46765.51563,,1546797.375,,,,38561.82031,,
,,396888.3125,447620,,,,,,,,941846.3125,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,120420.9766,60129.45313,,,,158823.1719,1399085.625,,,,,,679292.375
4196323,6360160.5,3571497,21064443.84,4632251,1502289.625,19375362.76,11703047.45,3623275.75,17166306,30767118.25,14559820.71,6832363.5,28148142,7217849.5,59305976.09,3263891.25,10848626
,,,,,,,264496.75,,,321813.875,894316.9375,,397871.8438,,,40045.32813,237212.3438
,,,,,,,,,32568.07813,28619.30078,496555.9375,,25326.32422,,,,
,,,,,39113.83984,,,,96842.89063,,1171427.875,,,,,,106605.5391
,,,,,,,,,,,,,,,,,
3322577.75,3493470.75,1677338.625,19421204,5120052.5,1640662.75,17002326,14420206,2616198.25,18051116,18424096,15003485,4351372,17426896,2318876.5,23790476,1652546.875,5392472.641
,,,,,6545.715332,,,,,,527750.875,,46750.30469,,,,35266.62109
,,,28554.72266,,,48038.24609,,,,,301141.5313,,,,,,
,91825.81641,,342731.8125,48998.95703,,693003.25,296083.9688,,349173.0625,463367.5,6373100.5,,405541.2969,,242957.4219,,107884.625
,,,114728.7422,,,87309.60156,109471.9414,,45860.48047,247935.0391,1289818.813,,86335.34375,,52774.46875,,
,10598.18164,,,,,,,,,,207191,9107.05957,,,,,
,,,,,,,,,,,233536,,,,,,
,,,,,,,,,,105148.4609,,,991174.3125,,,,
389426.2813,473250,,3751205.875,445436.9375,193925.6094,3499319.609,817158.1563,306858.5938,1103845.813,1879669.172,,1407173.656,2259393.563,1535355.469,6110277.93,1428418.75,5499632.75
,,,186495.2188,123287.6406,241844.1875,661200.375,304763.4063,,266979.3125,460051.375,2343907.25,,273607,,494189.25,,755129.5625
2721481,3385901,4488580.5,8626811.25,2758833.125,1805355.035,15051225.62,14258409.75,4541964.5,4802884.75,16266335.11,3599851.07,3694168.75,6335241.75,,3043281.25,1488598.75,4082343.646
